,Month,Day_confirmed,Day_deaths
0,01-2020,7,0
1,02-2020,63,1
2,03-2020,188391,4303
3,04-2020,887295,58836
4,05-2020,723546,41239
5,06-2020,854019,23083
6,07-2020,1918348,26400
7,08-2020,1473788,29610
8,09-2020,1217278,23380
9,10-2020,1946272,23660
10,11-2020,4406314,37519
11,12-2020,6409480,78019
12,01-2021,6196629,95249
13,02-2021,2402731,71680
14,03-2021,1854725,38679
15,04-2021,1883488,23979
16,05-2021,915538,18684
17,06-2021,361852,10125
18,07-2021,1378800,8473
19,08-2021,4298065,27600
20,09-2021,4141403,57469
21,10-2021,2476063,47547
22,11-2021,2586693,35313
23,12-2021,6168679,43069
24,01-2022,1450724,2148